Time (sec),SetpointLivingZone,Text.T
730800,21,5.91542
731700,21,5.92303
732600,21,5.93057
733500,21,5.93803
734400,21,5.94543
735300,21,5.95275
736200,21,5.95999
737100,21,5.96716
738000,21,5.97425
738900,21,5.98126
739800,21,5.98819
740700,21,5.99504
741600,21,6.0018
742500,21,6.00848
743400,21,6.01508
744300,21,6.02158
745200,21,6.028
746100,21,6.03433
747000,21,6.04056
747900,21,6.04671
748800,21,6.05276
749700,21,6.05871
750600,21,6.06457
751500,21,6.07033
752400,21,6.07599
753300,21,6.08155
754200,21,6.08701
755100,21,6.09237
756000,21,6.09762
756900,21,6.10276
757800,21,6.1078
758700,21,6.11273
759600,21,6.11755
760500,21,6.12226
761400,21,6.12686
762300,21,6.13134
763200,21,6.13571
764100,21,6.13996
765000,21,6.14409
765900,21,6.14811
766800,21,6.152
767700,21,6.15577
768600,21,6.15942
769500,16,6.16295
770400,16,6.16635
771300,16,6.16962
772200,16,6.17276
773100,16,6.17578
774000,16,6.17866
774900,16,6.18141
775800,16,6.18403
776700,16,6.18651
777600,16,6.18886
778500,16,6.19107
779400,16,6.19314
780300,16,6.19507
781200,16,6.19685
782100,16,6.1985
783000,16,6.2
783900,16,6.20135
784800,16,6.20254
785700,16,6.20357
786600,16,6.20444
787500,16,6.20516
788400,16,6.20571
789300,16,6.20611
790200,16,6.20635
791100,16,6.20643
792000,16,6.20635
792900,16,6.20611
793800,16,6.20571
794700,16,6.20516
795600,16,6.20444
796500,16,6.20357
797400,16,6.20254
798300,16,6.20135
799200,16,6.2
800100,16,6.19849
801000,16,6.19683
801900,16,6.195
802800,21,6.19302
803700,21,6.19087
804600,21,6.18857
805500,21,6.18611
806400,21,6.18349
807300,21,6.18071
808200,21,6.17778
809100,21,6.17468
810000,21,6.17143
810900,21,6.16802
811800,21,6.16444
812700,21,6.16071
813600,21,6.15683
814500,21,6.15278
815400,21,6.14857
816300,21,6.14421
817200,21,6.13968
818100,21,6.135
819000,21,6.13016
819900,21,6.12516
820800,21,6.12
821700,21,6.11468
822600,21,6.10921
823500,21,6.10357
824400,21,6.09778
825300,21,6.09183
826200,21,6.08571
827100,21,6.07944
828000,21,6.07302
828900,21,6.06643
829800,21,6.05968
830700,21,6.05278
831600,21,6.04571
832500,21,6.03849
833400,21,6.03111
834300,21,6.02357
835200,21,6.01587
836100,21,6.00802
837000,21,6
837900,21,5.99187
838800,21,5.98367
839700,21,5.97539
840600,21,5.96705
841500,21,5.95864
842400,21,5.95016
843300,21,5.94161
844200,21,5.93299
845100,21,5.9243
846000,21,5.91554
846900,21,5.90672
847800,21,5.89783
848700,21,5.88887
849600,21,5.87985
850500,21,5.87076
851400,21,5.8616
852300,21,5.85238
853200,21,5.8431
854100,21,5.83375
855000,21,5.82434
855900,16,5.81486
856800,16,5.80532
857700,16,5.79572
858600,16,5.78606
859500,16,5.77633
860400,16,5.76654
861300,16,5.75669
862200,16,5.74679
863100,16,5.73682
864000,16,5.72679
864900,16,5.7167
865800,16,5.70655
866700,16,5.69634
867600,16,5.68608
868500,16,5.67575
869400,16,5.66537
870300,16,5.65493
871200,16,5.64444
872100,16,5.63389
873000,16,5.62328
873900,16,5.61262
874800,16,5.6019
875700,16,5.59113
876600,16,5.5803
877500,16,5.56942
878400,16,5.55849
879300,16,5.5475
880200,16,5.53646
881100,16,5.52536
882000,16,5.51422
882900,16,5.50302
883800,16,5.49178
884700,16,5.48048
885600,16,5.46913
886500,16,5.45773
887400,16,5.44628
888300,16,5.43478
889200,21,5.42324
890100,21,5.41164
891000,21,5.4
891900,21,5.38817
892800,21,5.37602
893700,21,5.36356
894600,21,5.35081
895500,21,5.33779
896400,21,5.3245
897300,21,5.31096
898200,21,5.29719
899100,21,5.28319
900000,21,5.26898
900900,21,5.25458
901800,21,5.24
902700,21,5.22525
903600,21,5.21035
904500,21,5.19531
905400,21,5.18015
906300,21,5.16487
907200,21,5.1495
908100,21,5.13404
909000,21,5.11852
909900,21,5.10294
910800,21,5.08731
911700,21,5.07166
912600,21,5.056
913500,21,5.04034
914400,21,5.02469
915300,21,5.00906
916200,21,4.99348
917100,21,4.97796
918000,21,4.9625
918900,21,4.94713
919800,21,4.93185
920700,21,4.91669
921600,21,4.90165
922500,21,4.88675
923400,21,4.872
924300,21,4.85742
925200,21,4.84302
926100,21,4.82881
927000,21,4.81482
927900,21,4.80104
928800,21,4.7875
929700,21,4.77421
930600,21,4.76119
931500,21,4.74844
932400,21,4.73598
933300,21,4.72383
934200,21,4.712
935100,21,4.7005
936000,21,4.68935
936900,21,4.67856
937800,21,4.66815
938700,21,4.65812
939600,21,4.6485
940500,21,4.63929
941400,21,4.63052
942300,16,4.62219
943200,16,4.61432
944100,16,4.60691
945000,16,4.6
945900,16,4.59333
946800,16,4.58667
947700,16,4.58
948600,16,4.57333
